date,zone,is_weekend,is_exam,is_event,avg_devices_connected,packet_loss_rate,bandwidth_used_gb
2024-01-01,Hostel,False,False,False,565.0,1.12,403.1
2024-01-01,Library,False,False,False,565.0,1.12,185.3
2024-01-01,Academic Block,False,False,False,565.0,1.12,284.7
2024-01-01,Cafeteria,False,False,False,565.0,1.12,54.8
2024-01-01,Sports Complex,False,False,False,565.0,1.12,47.8
2024-01-02,Hostel,False,False,False,,2.64,266.1
2024-01-02,Library,False,False,False,271.0,2.64,49.8
2024-01-02,Academic Block,False,False,False,271.0,2.64,156.6
2024-01-02,Cafeteria,False,False,False,271.0,2.64,0.0
2024-01-02,Sports Complex,False,False,False,271.0,2.64,0.0
2024-01-03,Hostel,False,False,False,434.0,0.71,388.3
2024-01-03,Library,False,False,False,434.0,0.71,145.5
2024-01-03,Academic Block,False,False,False,434.0,0.71,260.8
2024-01-03,Cafeteria,False,False,False,434.0,0.71,25.1
2024-01-03,Sports Complex,False,False,False,434.0,0.71,28.0
2024-01-04,Hostel,False,False,False,305.0,1.02,347.8
2024-01-04,Library,False,False,False,305.0,1.02,112.0
2024-01-04,Academic Block,False,False,False,305.0,1.02,212.0
2024-01-04,Cafeteria,False,False,False,305.0,1.02,8.3
2024-01-04,Sports Complex,False,False,False,305.0,1.02,0.0
2024-01-05,Hostel,False,True,False,460.0,1.11,493.1
2024-01-05,Library,False,True,False,460.0,1.11,274.1
2024-01-05,Academic Block,False,True,False,,1.11,237.8
2024-01-05,Cafeteria,False,True,False,460.0,1.11,25.0
2024-01-05,Sports Complex,False,True,False,460.0,1.11,17.0
2024-01-06,Hostel,True,True,False,284.0,1.34,480.5
2024-01-06,Library,True,True,False,284.0,1.34,145.3
2024-01-06,Academic Block,True,True,False,284.0,1.34,144.5
2024-01-06,Cafeteria,True,True,False,284.0,1.34,0.0
2024-01-06,Sports Complex,True,True,False,284.0,1.34,0.0
2024-01-07,Hostel,True,False,False,406.0,1.33,434.0
2024-01-07,Library,True,False,False,406.0,1.33,76.2
2024-01-07,Academic Block,True,False,False,406.0,1.33,188.3
2024-01-07,Cafeteria,True,False,False,406.0,1.33,47.9
2024-01-07,Sports Complex,True,False,False,406.0,1.33,37.5
2024-01-08,Hostel,False,False,False,444.0,2.74,309.2
2024-01-08,Library,False,False,False,444.0,2.74,147.8
2024-01-08,Academic Block,False,False,False,444.0,2.74,184.4
2024-01-08,Cafeteria,False,False,False,444.0,2.74,11.4
2024-01-08,Sports Complex,False,False,False,444.0,2.74,1.3
2024-01-09,Hostel,False,False,False,506.0,2.13,366.5
2024-01-09,Library,False,False,False,506.0,2.13,175.1
2024-01-09,Academic Block,False,False,False,506.0,2.13,239.5
2024-01-09,Cafeteria,False,False,False,506.0,2.13,11.9
2024-01-09,Sports Complex,False,False,False,506.0,2.13,27.6
2024-01-10,Hostel,False,False,False,453.0,3.09,357.7
2024-01-10,Library,False,False,False,453.0,3.09,108.0
2024-01-10,Academic Block,False,False,False,453.0,3.09,196.1
2024-01-10,Cafeteria,False,False,False,453.0,3.09,20.0
2024-01-10,Sports Complex,False,False,False,453.0,3.09,-4.4
2024-01-11,Hostel,False,False,False,456.0,1.02,366.1
2024-01-11,Library,False,False,False,456.0,1.02,124.9
2024-01-11,Academic Block,False,False,False,456.0,1.02,252.9
2024-01-11,Cafeteria,False,False,False,456.0,1.02,35.0
2024-01-11,Sports Complex,False,False,False,456.0,1.02,9.7
2024-01-12,Hostel,False,False,False,492.0,1.85,396.3
2024-01-12,Library,False,False,False,492.0,1.85,145.0
2024-01-12,Academic Block,False,False,False,492.0,1.85,240.6
2024-01-12,Cafeteria,False,False,False,492.0,1.85,44.6
2024-01-12,Sports Complex,False,False,False,492.0,1.85,42.2
2024-01-13,Hostel,True,False,False,548.0,0.0,506.9
2024-01-13,Library,True,False,False,548.0,0.0,105.2
2024-01-13,Academic Block,True,False,False,548.0,0.0,230.4
2024-01-13,Cafeteria,True,False,False,548.0,0.0,94.4
2024-01-13,Sports Complex,True,False,False,548.0,0.0,115.3
2024-01-14,Hostel,True,False,False,435.0,2.32,384.5
2024-01-14,Library,True,False,False,435.0,2.32,71.8
2024-01-14,Academic Block,True,False,False,435.0,2.32,178.8
2024-01-14,Cafeteria,True,False,False,435.0,2.32,5.9
2024-01-14,Sports Complex,True,False,False,435.0,2.32,38.5
2024-01-15,Hostel,False,False,False,314.0,1.97,320.0
2024-01-15,Library,False,False,False,314.0,1.97,73.6
2024-01-15,Academic Block,False,False,False,314.0,1.97,193.4
2024-01-15,Cafeteria,False,False,False,314.0,1.97,0.0
2024-01-15,Sports Complex,False,False,False,314.0,1.97,0.0
2024-01-16,Hostel,False,False,False,462.0,2.27,350.4
2024-01-16,Library,False,False,False,462.0,2.27,77.9
2024-01-16,Academic Block,False,False,False,462.0,2.27,258.2
2024-01-16,Cafeteria,False,False,False,462.0,2.27,0.0
2024-01-16,Sports Complex,False,False,False,462.0,2.27,23.8
2024-01-17,Hostel,False,False,False,506.0,0.48,433.2
2024-01-17,Library,False,False,False,506.0,0.48,149.2
2024-01-17,Academic Block,False,False,False,506.0,0.48,273.7
2024-01-17,Cafeteria,False,False,False,506.0,0.48,79.4
2024-01-17,Sports Complex,False,False,False,506.0,0.48,37.2
2024-01-18,Hostel,False,False,False,,0.93,441.7
2024-01-18,Library,False,False,False,639.0,0.93,220.0
2024-01-18,Academic Block,False,False,False,639.0,0.93,276.7
2024-01-18,Cafeteria,False,False,False,639.0,0.93,50.3
2024-01-18,Sports Complex,False,False,False,639.0,0.93,66.1
2024-01-19,Hostel,False,False,False,493.0,0.61,397.4
2024-01-19,Library,False,False,False,493.0,0.61,135.4
2024-01-19,Academic Block,False,False,False,493.0,0.61,236.6
2024-01-19,Cafeteria,False,False,False,493.0,0.61,58.3
2024-01-19,Sports Complex,False,False,False,493.0,0.61,46.3
2024-01-20,Hostel,True,False,False,465.0,1.41,432.3
2024-01-20,Library,True,False,False,465.0,1.41,74.5
2024-01-20,Academic Block,True,False,False,465.0,1.41,168.5
2024-01-20,Cafeteria,True,False,False,465.0,1.41,36.1
2024-01-20,Sports Complex,True,False,False,465.0,1.41,68.8
2024-01-21,Hostel,True,False,False,337.0,3.21,335.1
2024-01-21,Library,True,False,False,337.0,3.21,1.1
2024-01-21,Academic Block,True,False,False,337.0,3.21,135.3
2024-01-21,Cafeteria,True,False,False,337.0,3.21,0.0
2024-01-21,Sports Complex,True,False,False,337.0,3.21,33.5
2024-01-22,Hostel,False,False,False,334.0,1.0,321.7
2024-01-22,Library,False,False,False,334.0,1.0,104.4
2024-01-22,Academic Block,False,False,False,334.0,1.0,188.3
2024-01-22,Cafeteria,False,False,False,334.0,1.0,0.0
2024-01-22,Sports Complex,False,False,False,334.0,1.0,0.0
2024-01-23,Hostel,False,False,False,437.0,2.57,363.4
2024-01-23,Library,False,False,False,437.0,2.57,86.6
2024-01-23,Academic Block,False,False,False,437.0,2.57,-201.2
2024-01-23,Cafeteria,False,False,False,437.0,2.57,0.0
2024-01-23,Sports Complex,False,False,False,437.0,2.57,0.0
2024-01-24,Hostel,False,True,False,,2.77,418.9
2024-01-24,Library,False,True,False,404.0,2.77,174.3
2024-01-24,Academic Block,False,True,False,404.0,2.77,196.2
2024-01-24,Cafeteria,False,True,False,404.0,2.77,33.0
2024-01-24,Sports Complex,False,True,False,404.0,2.77,0.0
2024-01-25,Hostel,False,False,False,534.0,4.03,393.8
2024-01-25,Library,False,False,False,534.0,4.03,134.9
2024-01-25,Academic Block,False,False,False,534.0,4.03,229.6
2024-01-25,Cafeteria,False,False,False,534.0,4.03,1.1
2024-01-25,Sports Complex,False,False,False,534.0,4.03,3.4
2024-01-26,Hostel,False,False,False,505.0,1.99,404.4
2024-01-26,Library,False,False,False,505.0,1.99,141.2
2024-01-26,Academic Block,False,False,False,505.0,1.99,195.1
2024-01-26,Cafeteria,False,False,False,505.0,1.99,28.9
2024-01-26,Sports Complex,False,False,False,505.0,1.99,14.9
2024-01-27,Hostel,True,False,False,460.0,1.86,431.9
2024-01-27,Library,True,False,False,460.0,1.86,70.2
2024-01-27,Academic Block,True,False,False,460.0,1.86,160.1
2024-01-27,Cafeteria,True,False,False,460.0,1.86,30.0
